model,layer,name,name_id,shape[0],shape[1]
Llama-2-7b-hf,12,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,12,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,12,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,12,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,13,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,13,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,13,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,13,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,13,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,13,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,13,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,14,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,14,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,14,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,14,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,14,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,14,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,14,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,15,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,15,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,15,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,15,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,15,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,15,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,15,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,16,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,16,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,16,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,16,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,16,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,16,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,16,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,17,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,17,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,17,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,17,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,17,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,17,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,17,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,18,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,18,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,18,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,18,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,18,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,18,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,18,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,19,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,19,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,19,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,19,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,19,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,19,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,19,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,20,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,20,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,20,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,20,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,20,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,20,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,20,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,21,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,21,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,21,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,21,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,21,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,21,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,21,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,22,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,22,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,22,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,22,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,22,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,22,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,22,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,23,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,23,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,23,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,23,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,23,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,23,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,23,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,24,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,24,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,24,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,24,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,24,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,24,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,24,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,25,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,25,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,25,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,25,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,25,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,25,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,25,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,26,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,26,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,26,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,26,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,26,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,26,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,26,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,27,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,27,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,27,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,27,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,27,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,27,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,27,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,28,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,28,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,28,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,28,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,28,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,28,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,28,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,29,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,29,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,29,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,29,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,29,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,29,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,29,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,30,self_attn.q_proj,1,4096,4096
