model,sparsity,pruning_data,dataset,acc,bleu,ppl,f1
Qwen/Qwen2.5-7B,0.0,none,anli_r1,0.623,,,
Qwen/Qwen2.5-7B,0.0,none,boolq,0.5724770642201835,,,
Qwen/Qwen2.5-7B,0.0,none,c4,,,12.810582160949709,
Qwen/Qwen2.5-7B,0.0,none,commonsense_qa,0.8484848484848485,,,
Qwen/Qwen2.5-7B,0.0,none,ds1000,,,,0.8261063098907471
Qwen/Qwen2.5-7B,0.0,none,esnli,0.8434446254071661,,,
Qwen/Qwen2.5-7B,0.0,none,gsm8k,0.026535253980288,,,
Qwen/Qwen2.5-7B,0.0,none,iwslt,,0.3688898941809378,,
Qwen/Qwen2.5-7B,0.0,none,mawps,0.6519230769230769,,,
Qwen/Qwen2.5-7B,0.0,none,mbpp,,,,0.711334764957428
Qwen/Qwen2.5-7B,0.0,none,opc,,,,0.7354699373245239
Qwen/Qwen2.5-7B,0.0,none,oscar,,,7.982422351837158,
Qwen/Qwen2.5-7B,0.0,none,pile,,,4.950601577758789,
Qwen/Qwen2.5-7B,0.0,none,race,0.0066882853668423,,,
Qwen/Qwen2.5-7B,0.0,none,redpajama,,,10.330682754516602,
Qwen/Qwen2.5-7B,0.0,none,rte,0.7472924187725631,,,
Qwen/Qwen2.5-7B,0.0,none,svamp,0.67,,,
Qwen/Qwen2.5-7B,0.0,none,wikitext2,,,6.851233005523682,
Qwen/Qwen2.5-7B,0.0,none,winogrande,0.6724546172059984,,,
Qwen/Qwen2.5-7B,0.0,none,wmt14,,0.3489941723523728,,
Qwen/Qwen2.5-7B,0.5,anli_r1,anli_r1,0.479,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,boolq,0.672782874617737,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,c4,,,15.965449333190918,
Qwen/Qwen2.5-7B,0.5,anli_r1,commonsense_qa,0.7919737919737919,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,ds1000,,,,0.8325380086898804
Qwen/Qwen2.5-7B,0.5,anli_r1,esnli,0.8599348534201955,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,gsm8k,0.0295678544351781,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,iwslt,,0.2729026413949923,,
Qwen/Qwen2.5-7B,0.5,anli_r1,mawps,0.625,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,mbpp,,,,0.7682141661643982
Qwen/Qwen2.5-7B,0.5,anli_r1,opc,,,,0.7604817152023315
Qwen/Qwen2.5-7B,0.5,anli_r1,oscar,,,9.953210830688477,
Qwen/Qwen2.5-7B,0.5,anli_r1,pile,,,6.142350673675537,
Qwen/Qwen2.5-7B,0.5,anli_r1,race,0.834414268342116,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,redpajama,,,12.95188331604004,
Qwen/Qwen2.5-7B,0.5,anli_r1,rte,0.8267148014440433,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,svamp,0.5933333333333334,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,wikitext2,,,8.64533519744873,
Qwen/Qwen2.5-7B,0.5,anli_r1,winogrande,0.6132596685082873,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,wmt14,,0.2665239924730939,,
Qwen/Qwen2.5-7B,0.5,boolq,anli_r1,0.408,,,
Qwen/Qwen2.5-7B,0.5,boolq,boolq,0.5666666666666667,,,
Qwen/Qwen2.5-7B,0.5,boolq,c4,,,15.646809577941896,
Qwen/Qwen2.5-7B,0.5,boolq,commonsense_qa,0.7952497952497952,,,
Qwen/Qwen2.5-7B,0.5,boolq,ds1000,,,,0.8357496857643127
Qwen/Qwen2.5-7B,0.5,boolq,esnli,0.8650244299674267,,,
Qwen/Qwen2.5-7B,0.5,boolq,gsm8k,0.0303260045489006,,,
Qwen/Qwen2.5-7B,0.5,boolq,iwslt,,0.2517784259364716,,
Qwen/Qwen2.5-7B,0.5,boolq,mawps,0.6423076923076924,,,
Qwen/Qwen2.5-7B,0.5,boolq,mbpp,,,,0.5142183303833008
Qwen/Qwen2.5-7B,0.5,boolq,opc,,,,0.6744928359985352
Qwen/Qwen2.5-7B,0.5,boolq,oscar,,,9.811285972595217,
Qwen/Qwen2.5-7B,0.5,boolq,pile,,,6.042926788330078,
Qwen/Qwen2.5-7B,0.5,boolq,race,0.856708552898257,,,
Qwen/Qwen2.5-7B,0.5,boolq,redpajama,,,12.860969543457031,
Qwen/Qwen2.5-7B,0.5,boolq,rte,0.855595667870036,,,
Qwen/Qwen2.5-7B,0.5,boolq,svamp,0.5866666666666667,,,
Qwen/Qwen2.5-7B,0.5,boolq,wikitext2,,,8.518519401550293,
Qwen/Qwen2.5-7B,0.5,boolq,winogrande,0.6179952644041041,,,
Qwen/Qwen2.5-7B,0.5,boolq,wmt14,,0.2519881286754542,,
Qwen/Qwen2.5-7B,0.5,c4,anli_r1,0.479,,,
Qwen/Qwen2.5-7B,0.5,c4,boolq,0.8085626911314985,,,
Qwen/Qwen2.5-7B,0.5,c4,c4,,,15.271151542663574,
Qwen/Qwen2.5-7B,0.5,c4,commonsense_qa,0.8034398034398035,,,
Qwen/Qwen2.5-7B,0.5,c4,ds1000,,,,0.828616201877594
Qwen/Qwen2.5-7B,0.5,c4,esnli,0.8724552117263844,,,
Qwen/Qwen2.5-7B,0.5,c4,gsm8k,0.0280515542077331,,,
Qwen/Qwen2.5-7B,0.5,c4,iwslt,,0.3024046248795619,,
Qwen/Qwen2.5-7B,0.5,c4,mawps,0.6326923076923077,,,
Qwen/Qwen2.5-7B,0.5,c4,mbpp,,,,0.5115340948104858
Qwen/Qwen2.5-7B,0.5,c4,opc,,,,0.6094274520874023
Qwen/Qwen2.5-7B,0.5,c4,oscar,,,9.58156967163086,
Qwen/Qwen2.5-7B,0.5,c4,pile,,,5.982234001159668,
Qwen/Qwen2.5-7B,0.5,c4,race,0.8522496959870288,,,
Qwen/Qwen2.5-7B,0.5,c4,redpajama,,,12.44288158416748,
Qwen/Qwen2.5-7B,0.5,c4,rte,0.8303249097472925,,,
Qwen/Qwen2.5-7B,0.5,c4,svamp,0.5966666666666667,,,
Qwen/Qwen2.5-7B,0.5,c4,wikitext2,,,8.65145492553711,
Qwen/Qwen2.5-7B,0.5,c4,winogrande,0.6298342541436464,,,
Qwen/Qwen2.5-7B,0.5,c4,wmt14,,0.2818909706815493,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,anli_r1,0.493,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,boolq,0.336085626911315,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,c4,,,15.985960960388184,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,commonsense_qa,0.800982800982801,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,ds1000,,,,0.8419063687324524
Qwen/Qwen2.5-7B,0.5,commonsense_qa,esnli,0.8335708469055375,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,gsm8k,0.0295678544351781,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,iwslt,,0.2640668616123668,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,mawps,0.575,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,mbpp,,,,0.4111722707748413
Qwen/Qwen2.5-7B,0.5,commonsense_qa,opc,,,,0.4695315062999725
Qwen/Qwen2.5-7B,0.5,commonsense_qa,oscar,,,9.98503589630127,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,pile,,,6.154984474182129,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,race,0.7886096473449534,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,redpajama,,,13.005818367004396,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,rte,0.8267148014440433,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,svamp,0.5566666666666666,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,wikitext2,,,8.99670696258545,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,winogrande,0.6101026045777427,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,wmt14,,0.2436038578854361,,
Qwen/Qwen2.5-7B,0.5,ds1000,anli_r1,0.402,,,
Qwen/Qwen2.5-7B,0.5,ds1000,boolq,0.7516819571865443,,,
Qwen/Qwen2.5-7B,0.5,ds1000,c4,,,16.917280197143555,
Qwen/Qwen2.5-7B,0.5,ds1000,commonsense_qa,0.7755937755937756,,,
Qwen/Qwen2.5-7B,0.5,ds1000,ds1000,,,,0.8561126589775085
Qwen/Qwen2.5-7B,0.5,ds1000,esnli,0.7724959283387622,,,
Qwen/Qwen2.5-7B,0.5,ds1000,gsm8k,0.0318423047763457,,,
Qwen/Qwen2.5-7B,0.5,ds1000,iwslt,,0.2842043723557667,,
Qwen/Qwen2.5-7B,0.5,ds1000,mawps,0.6326923076923077,,,
Qwen/Qwen2.5-7B,0.5,ds1000,mbpp,,,,0.6084266901016235
Qwen/Qwen2.5-7B,0.5,ds1000,opc,,,,0.6731709241867065
Qwen/Qwen2.5-7B,0.5,ds1000,oscar,,,10.369680404663086,
Qwen/Qwen2.5-7B,0.5,ds1000,pile,,,6.125265598297119,
Qwen/Qwen2.5-7B,0.5,ds1000,race,0.8064450749898663,,,
Qwen/Qwen2.5-7B,0.5,ds1000,redpajama,,,13.48069667816162,
Qwen/Qwen2.5-7B,0.5,ds1000,rte,0.8772563176895307,,,
Qwen/Qwen2.5-7B,0.5,ds1000,svamp,0.6066666666666667,,,
Qwen/Qwen2.5-7B,0.5,ds1000,wikitext2,,,9.660679817199709,
Qwen/Qwen2.5-7B,0.5,ds1000,winogrande,0.6156274664561957,,,
Qwen/Qwen2.5-7B,0.5,ds1000,wmt14,,0.2564414230635003,,
Qwen/Qwen2.5-7B,0.5,esnli,anli_r1,0.469,,,
Qwen/Qwen2.5-7B,0.5,esnli,boolq,0.4917431192660551,,,
Qwen/Qwen2.5-7B,0.5,esnli,c4,,,16.346729278564453,
Qwen/Qwen2.5-7B,0.5,esnli,commonsense_qa,0.8042588042588042,,,
Qwen/Qwen2.5-7B,0.5,esnli,ds1000,,,,0.8442045450210571
Qwen/Qwen2.5-7B,0.5,esnli,esnli,0.8830415309446255,,,
Qwen/Qwen2.5-7B,0.5,esnli,gsm8k,0.0257771038665655,,,
Qwen/Qwen2.5-7B,0.5,esnli,iwslt,,0.2580092577930158,,
Qwen/Qwen2.5-7B,0.5,esnli,mawps,0.5807692307692308,,,
Qwen/Qwen2.5-7B,0.5,esnli,mbpp,,,,0.4135087430477142
Qwen/Qwen2.5-7B,0.5,esnli,opc,,,,0.5212323069572449
Qwen/Qwen2.5-7B,0.5,esnli,oscar,,,10.184602737426758,
Qwen/Qwen2.5-7B,0.5,esnli,pile,,,6.259177207946777,
Qwen/Qwen2.5-7B,0.5,esnli,race,0.8433319821645724,,,
Qwen/Qwen2.5-7B,0.5,esnli,redpajama,,,13.214195251464844,
Qwen/Qwen2.5-7B,0.5,esnli,rte,0.8375451263537906,,,
Qwen/Qwen2.5-7B,0.5,esnli,svamp,0.5766666666666667,,,
Qwen/Qwen2.5-7B,0.5,esnli,wikitext2,,,9.186968803405762,
Qwen/Qwen2.5-7B,0.5,esnli,winogrande,0.6156274664561957,,,
Qwen/Qwen2.5-7B,0.5,esnli,wmt14,,0.2523435474844466,,
Qwen/Qwen2.5-7B,0.5,gsm8k,anli_r1,0.516,,,
Qwen/Qwen2.5-7B,0.5,gsm8k,boolq,0.3773700305810397,,,
Qwen/Qwen2.5-7B,0.5,gsm8k,c4,,,16.304676055908203,
Qwen/Qwen2.5-7B,0.5,gsm8k,commonsense_qa,0.8034398034398035,,,
Qwen/Qwen2.5-7B,0.5,gsm8k,ds1000,,,,0.8445113301277161
Qwen/Qwen2.5-7B,0.5,gsm8k,esnli,0.8637011400651465,,,
Qwen/Qwen2.5-7B,0.5,gsm8k,gsm8k,0.0295678544351781,,,
Qwen/Qwen2.5-7B,0.5,gsm8k,iwslt,,0.2533411077634372,,
Qwen/Qwen2.5-7B,0.5,gsm8k,mawps,0.6365384615384615,,,
Qwen/Qwen2.5-7B,0.5,gsm8k,mbpp,,,,0.5378469824790955
Qwen/Qwen2.5-7B,0.5,gsm8k,opc,,,,0.6815766096115112
Qwen/Qwen2.5-7B,0.5,gsm8k,oscar,,,10.151700973510742,
Qwen/Qwen2.5-7B,0.5,gsm8k,pile,,,6.27186393737793,
Qwen/Qwen2.5-7B,0.5,gsm8k,race,0.8486015403323875,,,
Qwen/Qwen2.5-7B,0.5,gsm8k,redpajama,,,13.182379722595217,
Qwen/Qwen2.5-7B,0.5,gsm8k,rte,0.779783393501805,,,
Qwen/Qwen2.5-7B,0.5,gsm8k,svamp,0.6166666666666667,,,
Qwen/Qwen2.5-7B,0.5,gsm8k,wikitext2,,,9.201169967651367,
Qwen/Qwen2.5-7B,0.5,gsm8k,winogrande,0.6124704025256511,,,
Qwen/Qwen2.5-7B,0.5,gsm8k,wmt14,,0.2465274980856909,,
Qwen/Qwen2.5-7B,0.5,iwslt,anli_r1,0.43,,,
Qwen/Qwen2.5-7B,0.5,iwslt,boolq,0.5798165137614679,,,
Qwen/Qwen2.5-7B,0.5,iwslt,c4,,,15.980073928833008,
Qwen/Qwen2.5-7B,0.5,iwslt,commonsense_qa,0.7854217854217854,,,
Qwen/Qwen2.5-7B,0.5,iwslt,ds1000,,,,0.8345653414726257
Qwen/Qwen2.5-7B,0.5,iwslt,esnli,0.8253257328990228,,,
Qwen/Qwen2.5-7B,0.5,iwslt,gsm8k,0.0356330553449583,,,
Qwen/Qwen2.5-7B,0.5,iwslt,iwslt,,0.335270013317847,,
Qwen/Qwen2.5-7B,0.5,iwslt,mawps,0.5865384615384616,,,
Qwen/Qwen2.5-7B,0.5,iwslt,mbpp,,,,0.6875755786895752
Qwen/Qwen2.5-7B,0.5,iwslt,opc,,,,0.7008599638938904
Qwen/Qwen2.5-7B,0.5,iwslt,oscar,,,10.024741172790527,
Qwen/Qwen2.5-7B,0.5,iwslt,pile,,,6.2108964920043945,
Qwen/Qwen2.5-7B,0.5,iwslt,race,0.8532630725577625,,,
Qwen/Qwen2.5-7B,0.5,iwslt,redpajama,,,13.304259300231934,
Qwen/Qwen2.5-7B,0.5,iwslt,rte,0.8664259927797834,,,
Qwen/Qwen2.5-7B,0.5,iwslt,svamp,0.5433333333333333,,,
Qwen/Qwen2.5-7B,0.5,iwslt,wikitext2,,,9.078272819519045,
Qwen/Qwen2.5-7B,0.5,iwslt,winogrande,0.6108918705603789,,,
Qwen/Qwen2.5-7B,0.5,iwslt,wmt14,,0.3146071476641937,,
Qwen/Qwen2.5-7B,0.5,mawps,anli_r1,0.41,,,
Qwen/Qwen2.5-7B,0.5,mawps,boolq,0.5880733944954128,,,
Qwen/Qwen2.5-7B,0.5,mawps,c4,,,17.01871109008789,
Qwen/Qwen2.5-7B,0.5,mawps,commonsense_qa,0.7944307944307945,,,
Qwen/Qwen2.5-7B,0.5,mawps,ds1000,,,,0.8407739996910095
Qwen/Qwen2.5-7B,0.5,mawps,esnli,0.8632939739413681,,,
Qwen/Qwen2.5-7B,0.5,mawps,gsm8k,0.0318423047763457,,,
Qwen/Qwen2.5-7B,0.5,mawps,iwslt,,0.2879814622225688,,
Qwen/Qwen2.5-7B,0.5,mawps,mawps,0.6230769230769231,,,
Qwen/Qwen2.5-7B,0.5,mawps,mbpp,,,,0.8031582832336426
Qwen/Qwen2.5-7B,0.5,mawps,opc,,,,0.7744050621986389
Qwen/Qwen2.5-7B,0.5,mawps,oscar,,,10.499628067016602,
Qwen/Qwen2.5-7B,0.5,mawps,pile,,,6.3679351806640625,
Qwen/Qwen2.5-7B,0.5,mawps,race,0.8447507093635995,,,
Qwen/Qwen2.5-7B,0.5,mawps,redpajama,,,13.452465057373049,
Qwen/Qwen2.5-7B,0.5,mawps,rte,0.7725631768953068,,,
Qwen/Qwen2.5-7B,0.5,mawps,svamp,0.6166666666666667,,,
Qwen/Qwen2.5-7B,0.5,mawps,wikitext2,,,9.494544982910156,
Qwen/Qwen2.5-7B,0.5,mawps,winogrande,0.6108918705603789,,,
Qwen/Qwen2.5-7B,0.5,mawps,wmt14,,0.2599711236055462,,
Qwen/Qwen2.5-7B,0.5,mbpp,anli_r1,0.398,,,
Qwen/Qwen2.5-7B,0.5,mbpp,boolq,0.718348623853211,,,
Qwen/Qwen2.5-7B,0.5,mbpp,c4,,,17.477001190185547,
Qwen/Qwen2.5-7B,0.5,mbpp,commonsense_qa,0.7854217854217854,,,
Qwen/Qwen2.5-7B,0.5,mbpp,ds1000,,,,0.8586433529853821
Qwen/Qwen2.5-7B,0.5,mbpp,esnli,0.8458876221498371,,,
Qwen/Qwen2.5-7B,0.5,mbpp,gsm8k,0.0280515542077331,,,
Qwen/Qwen2.5-7B,0.5,mbpp,iwslt,,0.2653365125688669,,
Qwen/Qwen2.5-7B,0.5,mbpp,mawps,0.6326923076923077,,,
Qwen/Qwen2.5-7B,0.5,mbpp,mbpp,,,,0.3815655708312988
Qwen/Qwen2.5-7B,0.5,mbpp,opc,,,,0.4706874191761017
Qwen/Qwen2.5-7B,0.5,mbpp,oscar,,,10.667332649230955,
Qwen/Qwen2.5-7B,0.5,mbpp,pile,,,6.342243671417236,
Qwen/Qwen2.5-7B,0.5,mbpp,race,0.8388731252533441,,,
Qwen/Qwen2.5-7B,0.5,mbpp,redpajama,,,13.976725578308104,
Qwen/Qwen2.5-7B,0.5,mbpp,rte,0.8700361010830325,,,
Qwen/Qwen2.5-7B,0.5,mbpp,svamp,0.6066666666666667,,,
Qwen/Qwen2.5-7B,0.5,mbpp,wikitext2,,,9.961426734924316,
Qwen/Qwen2.5-7B,0.5,mbpp,winogrande,0.6093133385951065,,,
Qwen/Qwen2.5-7B,0.5,mbpp,wmt14,,0.2415843249201827,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,anli_r1,0.509,,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,boolq,0.6859327217125383,,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,c4,,,15.80447006225586,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,commonsense_qa,0.8026208026208026,,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,ds1000,,,,0.8477205634117126
Qwen/Qwen2.5-7B,0.5,most_different_flatten,esnli,0.8718444625407166,,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,gsm8k,0.0341167551175132,,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,iwslt,,0.3243874546349317,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,mawps,0.6365384615384615,,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,mbpp,,,,0.6015154719352722
Qwen/Qwen2.5-7B,0.5,most_different_flatten,opc,,,,0.6458803415298462
Qwen/Qwen2.5-7B,0.5,most_different_flatten,oscar,,,9.842232704162598,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,pile,,,6.0008344650268555,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,race,0.7468585326307255,,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,redpajama,,,12.684088706970217,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,rte,0.8592057761732852,,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,svamp,0.6033333333333334,,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,wikitext2,,,8.63602352142334,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,winogrande,0.6179952644041041,,,
Qwen/Qwen2.5-7B,0.5,most_different_flatten,wmt14,,0.3059878040382677,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,anli_r1,0.515,,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,boolq,0.6397553516819572,,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,c4,,,15.864646911621094,
Qwen/Qwen2.5-7B,0.5,most_different_mean,commonsense_qa,0.8050778050778051,,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,ds1000,,,,0.84967041015625
Qwen/Qwen2.5-7B,0.5,most_different_mean,esnli,0.8656351791530945,,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,gsm8k,0.0318423047763457,,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,iwslt,,0.323898748151855,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,mawps,0.6346153846153846,,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,mbpp,,,,0.6580497026443481
Qwen/Qwen2.5-7B,0.5,most_different_mean,opc,,,,0.6672816872596741
Qwen/Qwen2.5-7B,0.5,most_different_mean,oscar,,,9.864616394042969,
Qwen/Qwen2.5-7B,0.5,most_different_mean,pile,,,6.009654998779297,
Qwen/Qwen2.5-7B,0.5,most_different_mean,race,0.8398865018240779,,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,redpajama,,,12.681007385253906,
Qwen/Qwen2.5-7B,0.5,most_different_mean,rte,0.8483754512635379,,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,svamp,0.6166666666666667,,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,wikitext2,,,8.655709266662598,
Qwen/Qwen2.5-7B,0.5,most_different_mean,winogrande,0.6195737963693765,,,
Qwen/Qwen2.5-7B,0.5,most_different_mean,wmt14,,0.3049542875701845,,
Qwen/Qwen2.5-7B,0.5,opc,anli_r1,0.394,,,
Qwen/Qwen2.5-7B,0.5,opc,boolq,0.4085626911314984,,,
Qwen/Qwen2.5-7B,0.5,opc,c4,,,17.20168113708496,
Qwen/Qwen2.5-7B,0.5,opc,commonsense_qa,0.7862407862407862,,,
Qwen/Qwen2.5-7B,0.5,opc,ds1000,,,,0.8575480580329895
Qwen/Qwen2.5-7B,0.5,opc,esnli,0.8427320846905537,,,
Qwen/Qwen2.5-7B,0.5,opc,gsm8k,0.0310841546626232,,,
Qwen/Qwen2.5-7B,0.5,opc,iwslt,,0.2725693510433797,,
Qwen/Qwen2.5-7B,0.5,opc,mawps,0.6326923076923077,,,
Qwen/Qwen2.5-7B,0.5,opc,mbpp,,,,0.5666159391403198
Qwen/Qwen2.5-7B,0.5,opc,opc,,,,0.6324817538261414
Qwen/Qwen2.5-7B,0.5,opc,oscar,,,10.551569938659668,
Qwen/Qwen2.5-7B,0.5,opc,pile,,,6.294127464294434,
Qwen/Qwen2.5-7B,0.5,opc,race,0.7831374138629915,,,
Qwen/Qwen2.5-7B,0.5,opc,redpajama,,,13.90723991394043,
Qwen/Qwen2.5-7B,0.5,opc,rte,0.8628158844765343,,,
Qwen/Qwen2.5-7B,0.5,opc,svamp,0.61,,,
Qwen/Qwen2.5-7B,0.5,opc,wikitext2,,,9.875730514526367,
Qwen/Qwen2.5-7B,0.5,opc,winogrande,0.606156274664562,,,
Qwen/Qwen2.5-7B,0.5,opc,wmt14,,0.244724957535981,,
Qwen/Qwen2.5-7B,0.5,oscar,anli_r1,0.409,,,
Qwen/Qwen2.5-7B,0.5,oscar,boolq,0.7902140672782875,,,
Qwen/Qwen2.5-7B,0.5,oscar,c4,,,15.365930557250977,
Qwen/Qwen2.5-7B,0.5,oscar,commonsense_qa,0.7944307944307945,,,
Qwen/Qwen2.5-7B,0.5,oscar,ds1000,,,,0.8363811373710632
Qwen/Qwen2.5-7B,0.5,oscar,esnli,0.8769340390879479,,,
Qwen/Qwen2.5-7B,0.5,oscar,gsm8k,0.0310841546626232,,,
Qwen/Qwen2.5-7B,0.5,oscar,iwslt,,0.3022420502654279,,
Qwen/Qwen2.5-7B,0.5,oscar,mawps,0.6269230769230769,,,
Qwen/Qwen2.5-7B,0.5,oscar,mbpp,,,,0.6197349429130554
Qwen/Qwen2.5-7B,0.5,oscar,opc,,,,0.6427016258239746
Qwen/Qwen2.5-7B,0.5,oscar,oscar,,,9.536640167236328,
Qwen/Qwen2.5-7B,0.5,oscar,pile,,,5.9586663246154785,
Qwen/Qwen2.5-7B,0.5,oscar,race,0.8378597486826105,,,
Qwen/Qwen2.5-7B,0.5,oscar,redpajama,,,12.442920684814451,
Qwen/Qwen2.5-7B,0.5,oscar,rte,0.8375451263537906,,,
Qwen/Qwen2.5-7B,0.5,oscar,svamp,0.5966666666666667,,,
Qwen/Qwen2.5-7B,0.5,oscar,wikitext2,,,8.710793495178223,
Qwen/Qwen2.5-7B,0.5,oscar,winogrande,0.6172059984214681,,,
Qwen/Qwen2.5-7B,0.5,oscar,wmt14,,0.2843484474077181,,
Qwen/Qwen2.5-7B,0.5,pile,anli_r1,0.527,,,
Qwen/Qwen2.5-7B,0.5,pile,boolq,0.7923547400611621,,,
Qwen/Qwen2.5-7B,0.5,pile,c4,,,15.706737518310549,
Qwen/Qwen2.5-7B,0.5,pile,commonsense_qa,0.7952497952497952,,,
Qwen/Qwen2.5-7B,0.5,pile,ds1000,,,,0.8546677231788635
Qwen/Qwen2.5-7B,0.5,pile,esnli,0.8721498371335505,,,
Qwen/Qwen2.5-7B,0.5,pile,gsm8k,0.0295678544351781,,,
Qwen/Qwen2.5-7B,0.5,pile,iwslt,,0.311989671433287,,
Qwen/Qwen2.5-7B,0.5,pile,mawps,0.6346153846153846,,,
Qwen/Qwen2.5-7B,0.5,pile,mbpp,,,,0.6811165809631348
Qwen/Qwen2.5-7B,0.5,pile,opc,,,,0.6726523637771606
Qwen/Qwen2.5-7B,0.5,pile,oscar,,,9.785987854003906,
Qwen/Qwen2.5-7B,0.5,pile,pile,,,5.818943500518799,
Qwen/Qwen2.5-7B,0.5,pile,race,0.8317794892582083,,,
Qwen/Qwen2.5-7B,0.5,pile,redpajama,,,12.65478515625,
Qwen/Qwen2.5-7B,0.5,pile,rte,0.8231046931407943,,,
Qwen/Qwen2.5-7B,0.5,pile,svamp,0.6133333333333333,,,
Qwen/Qwen2.5-7B,0.5,pile,wikitext2,,,8.66724681854248,
Qwen/Qwen2.5-7B,0.5,pile,winogrande,0.6195737963693765,,,
Qwen/Qwen2.5-7B,0.5,pile,wmt14,,0.2922283423118243,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,anli_r1,0.515,,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,boolq,0.6623853211009174,,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,c4,,,15.824064254760742,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,commonsense_qa,0.8067158067158067,,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,ds1000,,,,0.8504922986030579
Qwen/Qwen2.5-7B,0.5,prototype_flatten,esnli,0.8629885993485342,,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,gsm8k,0.0310841546626232,,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,iwslt,,0.3305513327841496,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,mawps,0.6288461538461538,,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,mbpp,,,,0.6730480194091797
Qwen/Qwen2.5-7B,0.5,prototype_flatten,opc,,,,0.6632570028305054
Qwen/Qwen2.5-7B,0.5,prototype_flatten,oscar,,,9.835678100585938,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,pile,,,5.996770858764648,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,race,0.7987434130522902,,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,redpajama,,,12.713520050048828,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,rte,0.851985559566787,,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,svamp,0.6166666666666667,,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,wikitext2,,,8.650151252746582,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,winogrande,0.6164167324388319,,,
Qwen/Qwen2.5-7B,0.5,prototype_flatten,wmt14,,0.306371759727794,,
Qwen/Qwen2.5-7B,0.5,prototype_mean,anli_r1,0.521,,,
